Race Session (date),Piece,KM,Rigging,Personnel,Result
1/24/2012,12,2.3,c/p/s/p/s,QUIE/Gallagher/Spencer/Johnson,07:44.2
1/24/2012,12,2.3,c/p/s/p/s,SHALD/Koven/Melander/Monaghan,07:33.1
1/24/2012,3,2.3,c/p/s/p/s/p/s/p/s,"Inman/Kasprzyk/BLOMQUIST/Coppola/Stafford/Peszek/Banks/James,G.",06:58.7
1/24/2012,3,2.3,c/p/s/p/s/p/s/p/s,"Gennaro/Bertoldo/WALSH/Otto/Struzyna/McEachern/James,R./Guregian",07:01.2
1/24/2012,13,2.3,c/p/s/p/s,SHALD/Gallagher/MELANDER/Johnson,07:44.3
1/24/2012,13,2.3,c/p/s/p/s,QUIE/Koven/SPENCER/Monaghan,07:45.4
1/24/2012,4,2.3,c/p/s/p/s/p/s/p/s,"Inman/Kasprzyk/Blomquist/Coppola/STRUZYNA/Peszek/Banks/James,G.",06:57.6
1/24/2012,4,2.3,c/p/s/p/s/p/s/p/s,"Gennaro/Bertoldo/Walsh/Otto/STAFFORD/McEachern/James,R./Guregian",06:59.8
1/24/2012,14,2.3,c/p/s/p/s,Shald/Gallagher/Melander/Johnson,07:43.0
1/24/2012,14,2.3,c/p/s/p/s,SPENCER/Koven/QUIE/Monaghan,07:47.0
1/26/2012,1,3.8,c/p/s/p/s/p/s/p/s,"Gennaro/Guregian/Struzyna/Gallagher/Melander/McEachern/James,R./Johnson",10:54.0
1/26/2012,1,3.8,c/p/s/p/s/p/s/p/s,Stafford/Bertoldo/Shald/Otto/Quie/Koven/Spencer/Monaghan,10:58.0
1/26/2012,11,3.8,c/p/s/p/s,Inman/Kasprzyk/Blomquist/Peszek,11:56.0
1/26/2012,11,3.8,c/p/s/p/s,"Walsh/Coppola/Banks/James,G.",12:01.0
1/26/2012,2,3.8,c/p/s/p/s/p/s/p/s,Gennaro/Guregian/Struzyna/Gallagher/Melander/McEachern/SPENCER/Johnson,10:18.0
1/26/2012,2,3.8,c/p/s/p/s/p/s/p/s,"Stafford/Bertoldo/Shald/Otto/Quie/Koven/JAMES,R./Monaghan",10:08.0
1/26/2012,12,3.8,c/p/s/p/s,"Inman/Kasprzyk/Blomquist/JAMES,G.",11:03.0
1/26/2012,12,3.8,c/p/s/p/s,Walsh/Coppola/Banks/PESZEK,11:08.0
1/26/2012,3,3.8,c/p/s/p/s/p/s/p/s,Gennaro/Guregian/Struzyna/Gallagher/Melander/KOVEN/Spencer/Johnson,11:07.0
1/26/2012,3,3.8,c/p/s/p/s/p/s/p/s,"Stafford/Bertoldo/Shald/Otto/Quie/McEACHERN/James,R./Monaghan",10:56.0
1/26/2012,13,3.8,c/p/s/p/s,"Inman/Kasprzyk/WALSH/James,G.",12:01.0
1/26/2012,13,3.8,c/p/s/p/s,BLOMQUIST/Coppola/Banks/Peszek,12:15.0
1/28/2012,1,1.2,c/p/s/p/s,Struzyna/McEachern/Shald/Koven,03:51.0
1/28/2012,1,1.2,c/p/s/p/s,"Stafford/Otto/James,R./Monaghan",03:40.0
1/28/2012,11,1.2,c/p/s/p/s,Walsh/Kasprzyk/Banks/Peszek,03:35.0
1/28/2012,11,1.2,c/p/s/p/s,Inman/Coppola/Blomquist/Guregian,03:41.0
1/28/2012,2,1.2,c/p/s/p/s,Struzyna/OTTO/Shald/Koven,03:40.7
1/28/2012,2,1.2,c/p/s/p/s,"Stafford/McEACHERN/James,R./Monaghan",03:40.9
1/28/2012,12,1.2,c/p/s/p/s,Walsh/Kasprzyk/Banks/GUREGIAN,03:34.8
1/28/2012,12,1.2,c/p/s/p/s,Inman/Coppola/Blomquist/PESZEK,03:38.0
1/28/2012,3,1.2,c/p/s/p/s,Struzyna/Otto/Shald/MONAGHAN,03:41.9
1/28/2012,3,1.2,c/p/s/p/s,"Stafford/McEachern/James,R./KOVEN",03:44.3
1/28/2012,13,1.2,c/p/s/p/s,Walsh/COPPOLA/Banks/Guregian,03:38.1
1/28/2012,13,1.2,c/p/s/p/s,Inman/KASPRZYK/Blomquist/Peszek,03:38.0
1/28/2012,4,1.3,c/p/s/p/s,"Struzyna/Otto/JAMES,R./Monaghan",04:05.1
1/28/2012,4,1.3,c/p/s/p/s,Stafford/McEachern/SHALD/Koven,04:07.3
1/31/2012,1,2,p/s/p/s,Walsh/Coppola/Banks/Peszek,06:34.5
1/31/2012,1,2,p/s/p/s,Inman/Kasprzyk/Blomquist/Otto,06:42.3
1/31/2012,11,2,c/p/s/p/s,"Stafford/Guregian/James,R./Monaghan",06:41.5
1/31/2012,11,2,c/p/s/p/s,"Struzyna/Bertoldo/Shald/James,G.",06:45.2
1/31/2012,2,2,p/s/p/s,Walsh/Coppola/Banks/OTTO,06:29.8
1/31/2012,2,2,p/s/p/s,Inman/Kasprzyk/Blomquist/PESZEK,06:33.0
1/31/2012,12,2,c/p/s/p/s,"Stafford/Guregian/James,R./Monaghan",06:43.2
1/31/2012,12,2,c/p/s/p/s,"Struzyna/Bertoldo/Shald/James,G.",06:49.0
1/31/2012,3,2,p/s/p/s,Walsh/Coppola/BLOMQUIST/Otto,06:42.0
1/31/2012,3,2,p/s/p/s,Inman/Kasprzyk/BANKS/Peszek,06:37.7
1/31/2012,13,2,c/p/s/p/s,Stafford/Guregian/SHALD/Monaghan,06:53.2
1/31/2012,13,2,c/p/s/p/s,"Struzyna/Bertoldo/JAMES,R./James,G.",06:46.9
1/31/2012,4,2,p/s/p/s,Walsh/Coppola/BANKS/Otto,06:31.8
1/31/2012,4,2,p/s/p/s,Inman/Kasprzyk/BLOMQUIST/Peszek,06:33.7
1/31/2012,14,2,c/p/s/p/s,"Stafford/Guregian/JAMES,R./JAMES,G.",06:39.7
1/31/2012,14,2,c/p/s/p/s,Struzyna/Bertoldo/SHALD/MONAGHAN,06:52.6
2/3/2012,1,2,c/s/p/s/p/s/p/s/p,Cole/Gennaro/Rummel/Cornelius/Newlin/Ochal/Miller/Lanzone,05:37.0
2/3/2012,1,2,c/p/s/p/s/p/s/p/s,"Stafford/Coppola/Walsh/Kasprzyk/Inman/Peszek/Banks/James,G.",05:39.8
2/3/2012,1,2,c/p/s/p/s/p/s/p/s,"Blomquist/Bertoldo/Struzyna/Otto/Shald/Guregian/James,R./Monaghan",05:41.0
2/3/2012,2,2,c/s/p/s/p/s/p/s/p,Cole/STAFFORD/Rummel/Cornelius/Newlin/Ochal/Miller/Lanzone,05:37.1
2/3/2012,2,2,c/p/s/p/s/p/s/p/s,"GENNARO/Coppola/Walsh/Kasprzyk/Inman/Peszek/Banks/James,G.",05:38.3
2/3/2012,2,2,c/p/s/p/s/p/s/p/s,"Blomquist/Bertoldo/Struzyna/Otto/Shald/Guregian/James,R./Monaghan",05:41.1
2/4/2012,1,2,c/s/p/s/p/s/p/s/p,"Cole/Gennaro/Rummel/Cornelius/Newlin/Ochal/James,G./Lanzone",05:36.4
2/4/2012,1,2,c/p/s/p/s/p/s/p/s,"Blomquist/Bertoldo/Stafford/Otto/Shald/Guregian/James,R./Monaghan",05:38.1
2/4/2012,1,2,c/p/s/p/s/p/s/p/s,Inman/Kasprzyk/Walsh/Coppola/Struzyna/Miller/Banks/Peszek,05:39.4
2/4/2012,2,2,c/s/p/s/p/s/p/s/p,"Cole/Gennaro/Rummel/Cornelius/KASPRZYK/Ochal/James,G./Lanzone",05:38.1
2/4/2012,2,2,c/p/s/p/s/p/s/p/s,"Blomquist/Bertoldo/STRUZYNA/Otto/Shald/Guregian/James,R./Monaghan",05:43.2
2/4/2012,2,2,c/p/s/p/s/p/s/p/s,Inman/NEWLIN/Walsh/Coppola/STAFFORD/Miller/Banks/Peszek,05:41.6
2/5/2012,1,2,c/p/s/p/s/p/s/p/s,"Ochal/Miller/Stafford/Otto/Shald/Guregian/James,R./Monaghan",05:47.8
